30-Jul-2014 17:23:55
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140730-02.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0-PMF-07.30.14-ch01
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 30.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, CeTb, Eu, mix] [14.47  14.37  14.47  16.82  14.00   0.74]
Resistances Mix2r 2 = [Sm, Dy, Tm, CeTb, Eu, mix] [14.97  14.74  15.90  14.00  14.00   0.29]
Oil: ch = 3, press = 9.00 psi
Push Water: ch = 2, press = 5.50 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, CeTb, Eu]  [6,  7,  4,  1,  5,]
Lanthanide Valves: [Sm, Dy, Tm, CeTb, Eu]  [C2,  C3,  C4,  C6,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_CeTb	Flow_Eu	P_Sm	P_Dy	P_Tm	P_CeTb	P_Eu
77	0.11	0.11	0.63	0.00	0.15	1.92	 1.85	10.32	 0.29	 2.43
78	0.11	0.11	0.00	0.74	0.04	1.92	 1.85	 0.29	10.66	 0.90
79	0.21	0.11	0.00	0.00	0.68	3.46	1.85	0.29	0.29	9.82
80	0.21	0.11	0.21	0.00	0.47	3.46	1.85	3.58	0.29	6.93
81	0.21	0.11	0.63	0.00	0.05	3.46	 1.85	10.32	 0.29	 0.99
82	0.37	0.11	0.00	0.00	0.52	5.86	1.85	0.29	0.29	7.58
83	0.37	0.11	0.21	0.00	0.31	5.86	1.85	3.58	0.29	4.69
84	0.62	0.11	0.00	0.00	0.27	9.57	1.85	0.29	0.29	4.11
85	0.62	0.11	0.21	0.00	0.07	9.57	1.85	3.58	0.29	1.21
86	0.00	0.22	0.00	0.00	0.78	0.29	 3.55	 0.29	 0.29	11.18
87	0.00	0.22	0.38	0.00	0.40	0.29	3.55	6.31	0.29	5.88
88	0.00	0.22	0.00	0.74	0.04	0.29	 3.55	 0.29	10.66	 0.81
89	0.04	0.22	0.00	0.00	0.74	0.93	 3.55	 0.29	 0.29	10.58
90	0.04	0.22	0.38	0.00	0.36	0.93	3.55	6.31	0.29	5.28
91	0.11	0.22	0.00	0.00	0.67	1.92	3.55	0.29	0.29	9.65
92	0.11	0.22	0.38	0.00	0.29	1.92	3.55	6.31	0.29	4.35
93	0.21	0.22	0.00	0.00	0.57	3.46	3.55	0.29	0.29	8.21
94	0.21	0.22	0.38	0.00	0.19	3.46	3.55	6.31	0.29	2.91
95	0.37	0.22	0.00	0.00	0.41	5.86	3.55	0.29	0.29	5.97
96	0.37	0.22	0.38	0.00	0.03	5.86	3.55	6.31	0.29	0.67
97	0.62	0.22	0.00	0.00	0.16	9.57	3.55	0.29	0.29	2.50
98	0.00	0.42	0.00	0.00	0.58	0.29	6.48	0.29	0.29	8.41
99	0.04	0.42	0.00	0.00	0.54	0.93	6.48	0.29	0.29	7.81
100	0.11	0.42	0.00	0.00	0.47	1.92	6.48	0.29	0.29	6.88
101	0.21	0.42	0.00	0.00	0.37	3.46	6.48	0.29	0.29	5.43
102	0.37	0.42	0.00	0.00	0.21	5.86	6.48	0.29	0.29	3.19
103	0.00	0.76	0.00	0.00	0.24	0.29	11.49	 0.29	 0.29	 3.64
104	0.04	0.76	0.00	0.00	0.20	0.93	11.49	 0.29	 0.29	 3.04
105	0.11	0.76	0.00	0.00	0.13	1.92	11.49	 0.29	 0.29	 2.11
106	0.21	0.76	0.00	0.00	0.03	3.46	11.49	 0.29	 0.29	 0.67
30-Jul-2014 17:23:59 Setting valves: 8 to 1
30-Jul-2014 17:23:59 Setting valves: 9 to 1
30-Jul-2014 17:23:59 Setting valves: 10 to 1
30-Jul-2014 17:23:59 Setting valves: 11 to 1
30-Jul-2014 17:23:59 Setting valves: 12 to 1
30-Jul-2014 17:23:59 Setting valves: 13 to 1
30-Jul-2014 17:23:59 Setting valves: 15 to 1
30-Jul-2014 17:23:59 Setting valves: 16 to 1
30-Jul-2014 17:23:59 Setting valves: 17 to 1
30-Jul-2014 17:23:59 Setting valves: 18 to 1
30-Jul-2014 17:23:59 Setting valves: 19 to 1
30-Jul-2014 17:23:59 Setting valves: 20 to 1
30-Jul-2014 17:23:59 Setting valves: 22 to 1
30-Jul-2014 17:23:59 Setting valves: 23 to 1
